webName,ID,elementID,firstName,secondName,fullName,cleanName
Cech,1,1,Petr,Cech,Petr Cech,Petr Cech
Leno,2,1,Bernd,Leno,Bernd Leno,Bernd Leno
Koscielny,3,2,Laurent,Koscielny,Laurent Koscielny,Laurent Koscielny
Bellerín,4,2,Héctor,Bellerín,Héctor Bellerín,Hector Bellerin
Monreal,5,2,Nacho,Monreal,Nacho Monreal,Nacho Monreal
Holding,6,2,Rob,Holding,Rob Holding,Rob Holding
Mustafi,7,2,Shkodran,Mustafi,Shkodran Mustafi,Shkodran Mustafi
Kolasinac,8,2,Sead,Kolasinac,Sead Kolasinac,Sead Kolasinac
Mavropanos,10,2,Konstantinos,Mavropanos,Konstantinos Mavropanos,Konstantinos Mavropanos
Lichtsteiner,11,2,Stephan,Lichtsteiner,Stephan Lichtsteiner,Stephan Lichtsteiner
Sokratis,12,2,Sokratis,Papastathopoulos,Sokratis Papastathopoulos,Sokratis Papastathopoulos
Özil,13,3,Mesut,Özil,Mesut Özil,Mesut Ozil
Ramsey,14,3,Aaron,Ramsey,Aaron Ramsey,Aaron Ramsey
Iwobi,15,3,Alex,Iwobi,Alex Iwobi,Alex Iwobi
Elneny,16,3,Mohamed,Elneny,Mohamed Elneny,Mohamed Elneny
Xhaka,17,3,Granit,Xhaka,Granit Xhaka,Granit Xhaka
Mkhitaryan,18,3,Henrikh,Mkhitaryan,Henrikh Mkhitaryan,Henrikh Mkhitaryan
Nelson,19,3,Reiss,Nelson,Reiss Nelson,Reiss Nelson
Maitland-Niles,20,3,Ainsley,Maitland-Niles,Ainsley Maitland-Niles,Ainsley MaitlandNiles
Welbeck,21,4,Danny,Welbeck,Danny Welbeck,Danny Welbeck
Lacazette,22,4,Alexandre,Lacazette,Alexandre Lacazette,Alexandre Lacazette
Aubameyang,23,4,Pierre-Emerick,Aubameyang,Pierre-Emerick Aubameyang,PierreEmerick Aubameyang
Torreira,450,3,Lucas,Torreira,Lucas Torreira,Lucas Torreira
Guendouzi,451,3,Matteo,Guendouzi,Matteo Guendouzi,Matteo Guendouzi
Martínez,542,1,Emiliano,Martínez,Emiliano Martínez,Emiliano Martinez
Smith-Rowe,545,3,Emile,Smith-Rowe,Emile Smith-Rowe,Emile SmithRowe
Medley,546,2,Zech,Medley,Zech Medley,Zech Medley
Nketiah,552,4,Edward,Nketiah,Edward Nketiah,Edward Nketiah
Saka,563,3,Bukayo,Saka,Bukayo Saka,Bukayo Saka
Willock,566,3,Joseph,Willock,Joseph Willock,Joseph Willock
Jenkinson,581,2,Carl,Jenkinson,Carl Jenkinson,Carl Jenkinson
Suárez,586,3,Denis,Suárez,Denis Suárez,Denis Suarez
Begovic,24,1,Asmir,Begovic,Asmir Begovic,Asmir Begovic
Boruc,25,1,Artur,Boruc,Artur Boruc,Artur Boruc
Francis,26,2,Simon,Francis,Simon Francis,Simon Francis
Steve Cook,27,2,Steve,Cook,Steve Cook,Steve Cook
Daniels,28,2,Charlie,Daniels,Charlie Daniels,Charlie Daniels
Adam Smith,29,2,Adam,Smith,Adam Smith,Adam Smith
Mings,30,2,Tyrone,Mings,Tyrone Mings,Tyrone Mings
Aké,31,2,Nathan,Aké,Nathan Aké,Nathan Ake
