,Unnamed: 0,Unnamed: 0.1,webName,ID,elementID,firstName,secondName,fullName,cleanName,score_1,score_2,score_3
0,0,0,Mustafi,1,2,Shkodran,Mustafi,Shkodran Mustafi,Shkodran Mustafi,0.0,0.0,6.55
1,1,1,Bellerín,2,2,Héctor,Bellerín,Héctor Bellerín,Hector Bellerin,0.66,0.0,12.739999999999998
2,2,2,Kolasinac,3,2,Sead,Kolasinac,Sead Kolasinac,Sead Kolasinac,0.0,0.0,1.75
3,3,3,Maitland-Niles,4,2,Ainsley,Maitland-Niles,Ainsley Maitland-Niles,Ainsley MaitlandNiles,5.23,1.78,2.5
4,4,4,Sokratis,5,2,Sokratis,Papastathopoulos,Sokratis Papastathopoulos,Sokratis Papastathopoulos,0.0,0.0,0.0
5,5,5,Monreal,6,2,Nacho,Monreal,Nacho Monreal,Nacho Monreal,0.0,0.0,6.97
6,6,6,Koscielny,7,2,Laurent,Koscielny,Laurent Koscielny,Laurent Koscielny,0.0,0.0,2.02
7,7,7,Mavropanos,8,2,Konstantinos,Mavropanos,Konstantinos Mavropanos,Konstantinos Mavropanos,0.0,0.0,1.38
8,8,8,Jenkinson,9,2,Carl,Jenkinson,Carl Jenkinson,Carl Jenkinson,0.0,0.0,-1.0
9,9,9,Holding,10,2,Rob,Holding,Rob Holding,Rob Holding,0.59,0.0,-0.21999999999999997
10,10,10,Aubameyang,11,4,Pierre-Emerick,Aubameyang,Pierre-Emerick Aubameyang,PierreEmerick Aubameyang,1.34,5.19,13.159999999999997
11,11,11,Lacazette,12,4,Alexandre,Lacazette,Alexandre Lacazette,Alexandre Lacazette,2.06,0.0,7.0
12,12,12,Nketiah,13,4,Edward,Nketiah,Edward Nketiah,Edward Nketiah,0.0,0.0,0.59
13,13,13,Leno,14,1,Bernd,Leno,Bernd Leno,Bernd Leno,0.0,0.0,1.63
14,14,14,Özil,15,3,Mesut,Özil,Mesut Özil,Mesut Ozil,0.0,0.0,4.8
15,15,15,Mkhitaryan,16,3,Henrikh,Mkhitaryan,Henrikh Mkhitaryan,Henrikh Mkhitaryan,0.0,0.78,21.5
16,16,16,Xhaka,18,3,Granit,Xhaka,Granit Xhaka,Granit Xhaka,0.54,0.0,-1.0
17,17,17,Torreira,19,3,Lucas,Torreira,Lucas Torreira,Lucas Torreira,0.0,0.0,2.27
18,18,18,Elneny,20,3,Mohamed,Elneny,Mohamed Elneny,Mohamed Elneny,0.0,0.0,0.0
19,19,19,Guendouzi,21,3,Matteo,Guendouzi,Matteo Guendouzi,Matteo Guendouzi,0.0,0.0,0.0
20,20,20,David Luiz,106,2,David,Luiz Moreira Marinho,David Luiz Moreira Marinho,David Luiz Moreira Marinho,1.78,0.0,15.399999999999999
21,21,21,Martínez,427,1,Emiliano,Martínez,Emiliano Martínez,Emiliano Martinez,0.0,0.0,0.0
22,22,22,Chambers,467,2,Calum,Chambers,Calum Chambers,Calum Chambers,0.0,0.0,0.52
23,23,23,Ceballos,469,3,Daniel,Ceballos Fernández,Daniel Ceballos Fernández,Daniel Ceballos Fernandez,2.27,1.63,8.590000000000002
24,24,24,Pépé,488,3,Nicolas,Pépé,Nicolas Pépé,Nicolas Pepe,1.22,0.0,7.41
25,25,25,Nelson,489,3,Reiss,Nelson,Reiss Nelson,Reiss Nelson,0.64,0.0,0.0
26,26,26,Willock,490,3,Joseph,Willock,Joseph Willock,Joseph Willock,0.0,0.0,1.51
27,27,27,Martinelli,504,4,Gabriel Teodoro,Martinelli Silva,Gabriel Teodoro Martinelli Silva,Gabriel Teodoro Martinelli Silva,0.0,0.0,5.86
28,28,28,Tierney,515,2,Kieran,Tierney,Kieran Tierney,Kieran Tierney,0.0,0.0,-0.22999999999999998
29,29,29,El Mohamady,22,2,Ahmed,El Mohamady,Ahmed El Mohamady,Ahmed El Mohamady,0.0,0.0,0.75
30,30,30,Chester,23,2,James,Chester,James Chester,James Chester,1.42,0.0,2.96
31,31,31,Taylor,24,2,Neil,Taylor,Neil Taylor,Neil Taylor,0.42,0.0,0.64
32,32,32,Hause,25,2,Kortney,Hause,Kortney Hause,Kortney Hause,0.0,0.0,0.0
33,33,33,Kodjia,26,4,Jonathan,Kodjia,Jonathan Kodjia,Jonathan Kodjia,0.0,0.0,-1.0
34,34,34,Nyland,27,1,Ørjan,Nyland,Ørjan Nyland,Orjan Nyland,0.0,0.0,0.0
35,35,35,Hourihane,28,3,Conor,Hourihane,Conor Hourihane,Conor Hourihane,0.0,0.0,0.0
36,36,36,Grealish,29,3,Jack,Grealish,Jack Grealish,Jack Grealish,0.72,0.0,0.0
37,37,37,El Ghazi,30,3,Anwar,El Ghazi,Anwar El Ghazi,Anwar El Ghazi,0.68,0.0,0.0
38,38,38,McGinn,31,3,John,McGinn,John McGinn,John McGinn,2.38,1.76,1.35
39,39,39,Green,32,3,Andre,Green,Andre Green,Andre Green,0.0,0.0,2.67
40,40,40,Bjarnason,33,3,Birkir,Bjarnason,Birkir Bjarnason,Birkir Bjarnason,0.0,0.0,-1.0
41,41,41,Davis,34,3,Keinan,Davis,Keinan Davis,Keinan Davis,0.0,0.0,0.0
42,42,42,Lansbury,35,3,Henri,Lansbury,Henri Lansbury,Henri Lansbury,0.0,0.0,0.0
43,43,43,Jota,36,3,José Ignacio,Peleteiro Romallo,José Ignacio Peleteiro Romallo,Jose Ignacio Peleteiro Romallo,0.0,0.0,0.0
44,44,44,Heaton,94,1,Tom,Heaton,Tom Heaton,Tom Heaton,2.53,0.0,3.12
45,45,45,Targett,309,2,Matt,Targett,Matt Targett,Matt Targett,0.64,0.0,0.0
46,46,46,Wesley,428,4,Wesley,Moraes,Wesley Moraes,Wesley Moraes,0.72,0.68,0.0
47,47,47,Steer,429,1,Jed,Steer,Jed Steer,Jed Steer,0.71,0.0,0.0
48,48,48,Mings,445,2,Tyrone,Mings,Tyrone Mings,Tyrone Mings,0.0,0.0,1.51
49,49,49,Konsa,452,2,Ezri,Konsa Ngoyo,Ezri Konsa Ngoyo,Ezri Konsa Ngoyo,0.65,0.0,0.0
50,50,50,Engels,455,2,Bjorn,Engels,Bjorn Engels,Bjorn Engels,0.0,0.0,0.0
51,51,51,Guilbert,458,2,Frédéric,Guilbert,Frédéric Guilbert,Frederic Guilbert,0.66,0.0,0.0
52,52,52,Trézéguet,465,3,Mahmoud Ahmed,Ibrahim Hassan,Mahmoud Ahmed Ibrahim Hassan,Mahmoud Ahmed Ibrahim Hassan,0.0,0.0,0.0
53,53,53,Douglas Luiz,470,3,Douglas Luiz,Soares de Paulo,Douglas Luiz Soares de Paulo,Douglas Luiz Soares de Paulo,1.31,0.0,6.720000000000001
54,54,54,Kalinic,474,1,Lovre,Kalinic,Lovre Kalinic,Lovre Kalinic,0.0,0.0,0.0
55,55,55,Nakamba,491,3,Marvelous,Nakamba,Marvelous Nakamba,Marvelous Nakamba,0.0,0.0,0.0
56,56,56,Steve Cook,58,2,Steve,Cook,Steve Cook,Steve Cook,0.72,0.0,4.84
57,57,57,Aké,59,2,Nathan,Aké,Nathan Aké,Nathan Ake,0.0,0.0,0.74
58,58,58,Daniels,60,2,Charlie,Daniels,Charlie Daniels,Charlie Daniels,0.0,0.0,2.51
59,59,59,Mepham,61,2,Chris,Mepham,Chris Mepham,Chris Mepham,0.34,0.0,0.73
60,60,60,Francis,62,2,Simon,Francis,Simon Francis,Simon Francis,0.7,0.0,0.79
61,61,61,Adam Smith,63,2,Adam,Smith,Adam Smith,Adam Smith,0.58,0.0,1.78
62,62,62,Kelly,64,2,Lloyd,Kelly,Lloyd Kelly,Lloyd Kelly,2.48,0.0,0.15999999999999992
63,63,63,Rico,65,2,Diego,Rico,Diego Rico,Diego Rico,0.54,0.0,2.26
64,64,64,Simpson,66,2,Jack,Simpson,Jack Simpson,Jack Simpson,0.0,0.0,0.0
65,65,65,Wilson,67,4,Callum,Wilson,Callum Wilson,Callum Wilson,8.25,0.75,31.669999999999995
66,66,66,King,68,4,Joshua,King,Joshua King,Joshua King,5.37,0.0,23.71
67,67,67,Solanke,69,4,Dominic,Solanke,Dominic Solanke,Dominic Solanke,0.0,0.0,0.0
68,68,68,Surridge,71,4,Sam,Surridge,Sam Surridge,Sam Surridge,0.0,0.0,1.33
69,69,69,Begovic,72,1,Asmir,Begovic,Asmir Begovic,Asmir Begovic,0.0,0.0,0.0
70,70,70,Boruc,73,1,Artur,Boruc,Artur Boruc,Artur Boruc,0.0,0.0,0.0
71,71,71,Travers,74,1,Mark,Travers,Mark Travers,Mark Travers,1.75,0.0,10.69
72,72,72,Fraser,75,3,Ryan,Fraser,Ryan Fraser,Ryan Fraser,2.3200000000000003,2.1100000000000003,30.970000000000002
73,73,73,Brooks,76,3,David,Brooks,David Brooks,David Brooks,0.74,0.0,3.8200000000000003
74,74,74,Stanislas,77,3,Junior,Stanislas,Junior Stanislas,Junior Stanislas,0.78,0.0,-0.21999999999999997
75,75,75,Ibe,78,3,Jordon,Ibe,Jordon Ibe,Jordon Ibe,0.0,0.0,1.71
76,76,76,Lewis Cook,79,3,Lewis,Cook,Lewis Cook,Lewis Cook,0.0,0.0,-1.0
77,77,77,Surman,80,3,Andrew,Surman,Andrew Surman,Andrew Surman,0.0,0.0,0.0
78,78,78,Gosling,81,3,Dan,Gosling,Dan Gosling,Dan Gosling,0.78,0.0,-1.0
79,79,79,Lerma,82,3,Jefferson,Lerma,Jefferson Lerma,Jefferson Lerma,0.0,0.0,1.4
80,80,80,Stacey,446,2,Jack,Stacey,Jack Stacey,Jack Stacey,0.0,0.0,8.07
81,81,81,Billing,476,3,Philip,Billing,Philip Billing,Philip Billing,3.89,0.0,0.0
82,82,82,Danjuma,492,3,Arnaut,Danjuma Groeneveld,Arnaut Danjuma Groeneveld,Arnaut Danjuma Groeneveld,0.64,0.0,-1.0
83,83,83,Ramsdale,494,1,Aaron,Ramsdale,Aaron Ramsdale,Aaron Ramsdale,0.0,0.0,0.0
84,84,84,Wilson,505,3,Harry,Wilson,Harry Wilson,Harry Wilson,0.0,0.0,1.47
85,85,85,Duffy,37,2,Shane,Duffy,Shane Duffy,Shane Duffy,0.0,0.0,2.8499999999999996
86,86,86,Montoya,38,2,Martín,Montoya,Martín Montoya,Martin Montoya,-0.47,0.0,3.4000000000000004
87,87,87,Bernardo,39,2,Bernardo,Fernandes da Silva Junior,Bernardo Fernandes da Silva Junior,Bernardo Fernandes da Silva Junior,1.59,1.78,7.659999999999999
88,88,88,Balogun,40,2,Leon,Balogun,Leon Balogun,Leon Balogun,0.0,0.0,0.71
89,89,89,Bong,41,2,Gaëtan,Bong,Gaëtan Bong,Gaetan Bong,0.0,0.0,0.63
90,90,90,Dunk,42,2,Lewis,Dunk,Lewis Dunk,Lewis Dunk,3.23,1.67,8.24
91,91,91,Clarke,43,2,Matthew,Clarke,Matthew Clarke,Matthew Clarke,1.54,0.0,0.51
92,92,92,Murray,44,4,Glenn,Murray,Glenn Murray,Glenn Murray,1.73,0.0,10.46
93,93,93,Locadia,45,4,Jürgen,Locadia,Jürgen Locadia,Jurgen Locadia,0.0,0.0,1.2799999999999998
94,94,94,Andone,46,4,Florin,Andone,Florin Andone,Florin Andone,0.0,0.0,0.0
95,95,95,Ryan,47,1,Mathew,Ryan,Mathew Ryan,Mathew Ryan,2.39,-0.48,5.82
96,96,96,Button,48,1,David,Button,David Button,David Button,0.77,0.0,1.4
97,97,97,Groß,49,3,Pascal,Groß,Pascal Groß,Pascal Gross,1.66,0.0,2.04
98,98,98,Jahanbakhsh,50,3,Alireza,Jahanbakhsh,Alireza Jahanbakhsh,Alireza Jahanbakhsh,0.0,0.0,1.63
99,99,99,Izquierdo,51,3,José Heriberto,Izquierdo Mena,José Heriberto Izquierdo Mena,Jose Heriberto Izquierdo Mena,0.0,0.0,1.62
100,100,100,Knockaert,52,3,Anthony,Knockaert,Anthony Knockaert,Anthony Knockaert,0.0,0.0,1.5
101,101,101,Bissouma,53,3,Yves,Bissouma,Yves Bissouma,Yves Bissouma,0.65,0.0,-1.0
102,102,102,Pröpper,54,3,Davy,Pröpper,Davy Pröpper,Davy Propper,0.0,0.0,0.0
103,103,103,March,55,3,Solomon,March,Solomon March,Solomon March,0.0,0.0,0.0
104,104,104,Kayal,56,3,Beram,Kayal,Beram Kayal,Beram Kayal,0.0,0.0,0.14000000000000012
105,105,105,Stephens,57,3,Dale,Stephens,Dale Stephens,Dale Stephens,0.71,0.0,0.73
106,106,106,Trossard,421,3,Leandro,Trossard,Leandro Trossard,Leandro Trossard,1.14,0.0,9.16
107,107,107,Burn,475,2,Dan,Burn,Dan Burn,Dan Burn,11.810000000000002,7.65,33.65
108,108,108,Webster,493,2,Adam,Webster,Adam Webster,Adam Webster,0.61,0.0,0.0
109,109,109,Maupay,502,4,Neal,Maupay,Neal Maupay,Neal Maupay,0.0,0.66,2.0300000000000002
110,110,110,Mooy,516,3,Aaron,Mooy,Aaron Mooy,Aaron Mooy,0.0,0.0,0.0
111,111,111,Mee,83,2,Ben,Mee,Ben Mee,Ben Mee,0.0,0.0,0.0
112,112,112,Tarkowski,84,2,James,Tarkowski,James Tarkowski,James Tarkowski,0.0,0.0,2.4699999999999998
113,113,113,Lowton,85,2,Matthew,Lowton,Matthew Lowton,Matthew Lowton,0.0,0.0,0.0
114,114,114,Bardsley,86,2,Phil,Bardsley,Phil Bardsley,Phil Bardsley,0.0,0.0,0.0
115,115,115,Taylor,87,2,Charlie,Taylor,Charlie Taylor,Charlie Taylor,0.0,0.0,0.0
116,116,116,Long,88,2,Kevin,Long,Kevin Long,Kevin Long,0.0,0.0,1.73
117,117,117,Gibson,89,2,Ben,Gibson,Ben Gibson,Ben Gibson,0.0,0.0,0.0
118,118,118,Barnes,90,4,Ashley,Barnes,Ashley Barnes,Ashley Barnes,4.23,1.7,14.82
119,119,119,Wood,91,4,Chris,Wood,Chris Wood,Chris Wood,0.0,0.0,1.49
120,120,120,Vydra,92,4,Matej,Vydra,Matej Vydra,Matej Vydra,0.0,0.0,0.0
121,121,121,Pope,93,1,Nick,Pope,Nick Pope,Nick Pope,1.77,0.0,11.77
