Player,Round,Opponent,Opponent_FDR,isHome,Points,minutes,Opponent_PrevWeek,Opponent_FDR_PrevWeek,isHome_PrevWeek,Points_PrevWeek,Opponent_2PrevWeek,Opponent_FDR_2PrevWeek,isHome_2PrevWeek,Points_2PrevWeek,isCaptain,ICT_index,Threat,Influence,Transfers_Balance,Value,BPS,DefenseOdds,OffenceOdds
Cresswell,1,2,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,50.33,104.45
Lennon,1,3,16,2,0,3,90,0,0,0,0,0,0,0,0,0,3.9,17.0,10.0,0,50,6,77.16,49.26
Mooy,1,3,6,4,1,2,90,0,0,0,0,0,0,0,0,0,3.8,0.0,20.2,0,55,24,47.62,86.22
Ramsey,1,3,13,4,1,1,53,0,0,0,0,0,0,0,0,0,2.9,9.0,9.4,0,75,7,25.96,80.95
Wan-Bissaka,1,2,9,2,0,12,90,0,0,0,0,0,0,0,0,1,6.0,0.0,46.0,0,40,38,24.41,62.42
Sabiri,1,3,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,47.62,86.22
Doucouré,1,3,3,1,1,3,90,0,0,0,0,0,0,0,0,0,3.9,2.0,11.6,0,60,16,48.48,27.68
Kamara,1,4,7,2,1,1,29,0,0,0,0,0,0,0,0,0,5.4,22.0,6.2,0,45,2,20.97,56.58
Diakhaby,1,3,6,4,1,1,19,0,0,0,0,0,0,0,0,0,0.5,0.0,4.2,0,50,2,47.62,86.22
Traoré,1,3,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,50.11,24.08
Lallana,1,3,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,70,0,7.79,-4.02
Masina,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,48.48,27.68
Smith,1,2,5,1,1,6,90,0,0,0,0,0,0,0,0,0,3.2,0.0,16.2,0,45,25,37.06,14.08
Lookman,1,3,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,64.06,32.59
Mariappa,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,48.48,27.68
Perruchet Silva,1,3,14,4,0,2,79,0,0,0,0,0,0,0,0,0,1.7,0.0,10.8,0,50,13,88.02,50.76
San Miguel del Castillo,1,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,50.33,104.45
Maitland-Niles,1,3,13,4,1,1,34,0,0,0,0,0,0,0,0,0,2.1,0.0,10.8,0,45,7,25.96,80.95
Moreno,1,2,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,7.79,-4.02
Mitrovic,1,4,7,2,1,2,90,0,0,0,0,0,0,0,0,0,7.7,66.0,7.2,0,65,3,20.97,56.58
Sørloth,1,4,9,2,0,1,7,0,0,0,0,0,0,0,0,0,1.5,2.0,2.2,0,50,4,24.41,62.42
Lacazette,1,4,13,4,1,1,36,0,0,0,0,0,0,0,0,0,0.2,5.0,0.0,0,95,-4,25.96,80.95
Sánchez,1,3,11,3,1,5,90,0,0,0,0,0,0,0,0,0,8.2,22.0,13.8,0,105,22,22.46,10.04
Iwobi,1,3,13,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,25.96,80.95
McCarthy,1,1,4,3,1,11,90,0,0,0,0,0,0,0,0,1,4.6,0.0,46.0,0,45,34,31.42,19.53
Oxlade-Chamberlain,1,3,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,65,0,7.79,-4.02
Pritchard,1,3,6,4,1,1,45,0,0,0,0,0,0,0,0,0,2.3,11.0,7.0,0,50,2,47.62,86.22
Smithies,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,78.22,38.45
Mawson,1,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,20.97,56.58
Jahanbakhsh,1,3,18,3,0,1,19,0,0,0,0,0,0,0,0,0,1.7,0.0,2.4,0,70,3,63.12,36.72
Ramses Becker,1,1,19,3,1,7,90,0,0,0,0,0,0,0,0,0,1.8,0.0,17.6,0,55,31,7.79,-4.02
Lindegaard,1,1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,77.16,49.26
Herrera,1,3,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,22.46,10.04
Christensen,1,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,25.57,10.63
Pereira,1,3,11,3,1,1,90,0,0,0,0,0,0,0,0,0,2.8,0.0,22.2,0,50,13,22.46,10.04
Robertson,1,2,19,3,1,11,90,0,0,0,0,0,0,0,0,1,7.3,10.0,32.2,0,60,41,7.79,-4.02
Surman,1,3,5,1,1,3,90,0,0,0,0,0,0,0,0,0,1.5,3.0,8.8,0,50,8,37.06,14.08
Gray,1,4,3,1,1,2,73,0,0,0,0,0,0,0,0,0,5.9,27.0,7.0,0,60,8,48.48,27.68
Yarmolenko,1,3,12,5,0,1,23,0,0,0,0,0,0,0,0,0,0.2,0.0,1.4,0,70,3,50.33,104.45
Townsend,1,3,9,2,0,3,87,0,0,0,0,0,0,0,0,0,6.3,18.0,27.6,0,60,9,24.41,62.42
Tavares Gomes,1,3,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,64.06,32.59
Zambo Anguissa,1,3,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,20.97,56.58
Schürrle,1,3,7,2,1,2,60,0,0,0,0,0,0,0,0,0,3.0,4.0,3.6,0,60,8,20.97,56.58
Carroll,1,4,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,55,0,50.33,104.45
Ogbonna,1,2,12,5,0,0,90,0,0,0,0,0,0,0,0,0,3.5,2.0,20.0,0,45,16,50.33,104.45
Gunn,1,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,31.42,19.53
Knockaert,1,3,18,3,0,2,90,0,0,0,0,0,0,0,0,0,3.6,22.0,9.4,0,55,4,63.12,36.72
Martial,1,3,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,75,0,22.46,10.04
Pilkington,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,78.22,38.45
Rüdiger,1,2,10,2,0,9,90,0,0,0,0,0,0,0,0,1,5.4,21.0,20.6,0,60,35,25.57,10.63
Valencia,1,2,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,65,0,22.46,10.04
Gunnarsson,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,78.22,38.45
Masuaku,1,3,12,5,0,2,90,0,0,0,0,0,0,0,0,0,2.2,0.0,21.0,0,45,16,50.33,104.45
Boruc,1,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,40,0,37.06,14.08
Richards,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,40,0,78.22,38.45
Barnes,1,3,16,2,0,1,14,0,0,0,0,0,0,0,0,0,2.3,7.0,5.2,0,60,4,77.16,49.26
Westwood,1,3,16,2,0,3,90,0,0,0,0,0,0,0,0,0,5.0,9.0,15.4,0,45,13,77.16,49.26
Williams,1,3,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,64.06,32.59
Young,1,2,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,60,0,22.46,10.04
Begovic,1,1,5,1,1,6,90,0,0,0,0,0,0,0,0,0,1.0,0.0,10.0,0,45,21,37.06,14.08
Laporte,1,2,1,4,0,6,90,0,0,0,0,0,0,0,0,0,5.3,37.0,14.2,0,55,21,6.26,41.49
Pérez,1,4,17,4,1,2,80,0,0,0,0,0,0,0,0,0,4.6,17.0,15.6,0,65,9,72.81,34.74
