in_dreamteam,selected_by_percent,goals_conceded,status,news,creativity,chance_of_playing_this_round,loans_in,loaned_in,saves,transfers_out_event,event_points,value_season,goals_scored,red_cards,element_type,ep_next,penalties_missed,special,squad_number,team,ea_index,dreamteam_count,second_name,web_name,photo,own_goals,transfers_out,first_name,threat,minutes,code,ep_this,influence,chance_of_playing_next_round,bonus,value_form,cost_change_event_fall,bps,clean_sheets,loaned_out,penalties_saved,cost_change_start,transfers_in,total_points,form,now_cost,ict_index,id,loans_out,cost_change_start_fall,transfers_in_event,points_per_game,news_added,cost_change_event,yellow_cards,assists,team_code
False,1.2,9,a,,0.0,100,0,0,27,553,0,5.0,0,0,1,1.0,0,False,1,1,0,0,Cech,Cech,11334.jpg,0,130028,Petr,0.0,585,11334,0.0,205.0,100,3,0.0,0,130,1,0,0,-2,81084,24,0.0,48,20.4,1,0,2,101,3.4,2018-09-29T17:31:14Z,0,0,0,3
False,2.1,23,a,,0.0,,0,0,48,1342,6,9.8,0,0,1,3.8,0,False,19,1,0,0,Leno,Leno,80201.jpg,0,147686,Bernd,0.0,1485,80201,2.8,364.6,,2,0.6,0,280,2,0,0,-2,125213,47,2.8,48,36.4,2,0,2,6266,2.8,,0,0,0,3
False,0.4,7,a,,3.5,100,0,0,0,748,15,4.1,1,0,2,5.4,0,False,6,1,0,1,Koscielny,Koscielny,51507.jpg,0,13315,Laurent,45.0,474,51507,4.4,169.4,100,3,0.8,0,115,1,0,0,-1,24027,22,4.4,54,21.8,3,0,1,13090,3.7,2019-01-05T21:01:16Z,0,1,0,3
False,5.7,21,i,Knee injury - Unknown return date,197.8,100,0,0,0,7810,11,11.1,0,0,2,0.0,0,False,2,1,0,0,Bellerín,Bellerín,98745.jpg,1,1075381,Héctor,280.0,1532,98745,2.4,261.6,0,5,0.4,0,304,4,0,0,-1,565985,60,2.4,54,73.7,4,0,1,3451,3.2,2019-01-19T20:01:19Z,0,3,5,3
False,0.8,11,a,,103.1,100,0,0,0,474,0,6.9,1,0,2,1.0,0,False,18,1,0,1,Monreal,Monreal,38411.jpg,0,235004,Nacho,163.0,780,38411,0.0,198.4,100,3,0.0,0,166,2,0,0,-1,208763,37,0.0,54,46.4,5,0,1,253,3.7,2018-12-22T14:31:17Z,0,1,2,3
False,0.4,10,i,Anterior cruciate ligament  - Expected back 05 Jun,28.7,0,0,0,0,270,0,5.6,0,0,2,0.0,0,False,16,1,0,0,Holding,Holding,156074.jpg,0,59569,Rob,14.0,806,156074,0.0,187.8,0,5,0.0,0,148,1,0,0,-2,39581,24,0.0,43,23.2,6,0,2,18,2.4,2018-12-05T23:01:16Z,0,1,0,3
False,1.0,25,a,,51.3,100,0,0,0,556,0,8.7,2,0,2,1.0,0,False,20,1,0,0,Mustafi,Mustafi,69140.jpg,0,120007,Shkodran,165.0,1543,69140,0.0,454.6,100,2,0.0,0,290,3,0,0,-1,81149,47,0.0,54,67.3,7,0,1,610,2.5,2019-01-01T14:01:16Z,0,6,0,3
False,4.0,16,a,,285.8,100,0,0,0,2458,6,9.4,0,0,2,4.0,0,False,31,1,0,0,Kolasinac,Kolasinac,111457.jpg,0,241853,Sead,106.0,1045,111457,3.0,179.4,100,8,0.6,0,224,2,0,0,-1,433938,46,3.0,49,56.9,8,0,1,23558,3.8,2018-12-22T12:31:16Z,0,2,4,3
False,0.1,0,d,Lack of match fitness - 25% chance of playing,0.0,25,0,0,0,29,0,0.0,0,0,2,0.3,0,False,27,1,0,0,Mavropanos,Mavropanos,233963.jpg,0,9774,Konstantinos,0.0,0,233963,0.0,0.0,25,0,0.0,0,0,0,0,0,-3,1304,0,0.0,47,0.0,10,0,3,13,0.0,2018-09-25T09:01:13Z,0,0,0,3
False,0.9,13,a,,40.0,100,0,0,0,528,0,1.8,0,0,2,1.4,0,False,12,1,0,0,Lichtsteiner,Lichtsteiner,27335.jpg,0,111090,Stephan,15.0,565,27335,0.4,69.2,100,0,0.1,0,58,0,0,0,-5,23835,8,0.4,45,12.5,11,0,5,262,0.9,2018-12-16T16:01:16Z,0,2,0,3
False,1.3,23,a,,51.4,100,0,0,0,558,11,6.7,0,0,2,4.8,0,False,5,1,0,1,Papastathopoulos,Sokratis,39476.jpg,0,117577,Sokratis,37.0,1388,39476,3.8,323.0,100,3,0.7,0,248,2,0,0,-4,40640,34,3.8,51,41.3,12,0,4,5320,2.1,2018-12-08T17:31:17Z,0,7,2,3
False,2.3,14,a,,363.0,100,0,0,0,1346,0,6.6,3,0,3,1.2,0,False,10,1,0,1,Özil,Özil,37605.jpg,0,587965,Mesut,133.0,975,37605,0.2,236.4,100,7,0.0,0,209,2,0,0,-5,409538,53,0.2,80,73.3,13,0,5,386,4.1,2018-12-29T11:31:16Z,0,1,2,3
False,0.9,12,a,,294.9,100,0,0,0,683,3,8.3,2,0,3,3.6,0,False,8,1,0,0,Ramsey,Ramsey,41792.jpg,0,201602,Aaron,324.0,880,41792,2.6,290.4,100,1,0.4,0,203,4,0,0,-3,165926,60,2.6,72,91.1,14,0,3,1326,3.0,2018-12-16T13:31:15Z,0,0,6,3
False,1.5,21,a,,276.3,100,0,0,0,4685,1,10.4,2,0,3,4.0,0,False,17,1,0,0,Iwobi,Iwobi,153133.jpg,0,187506,Alex,314.0,1125,153133,3.0,264.8,100,1,0.6,0,226,0,0,0,-1,208013,56,3.0,54,85.4,15,0,1,2539,2.8,2018-09-03T09:01:13Z,0,0,5,3
False,2.2,0,a,,12.2,100,0,0,0,1758,1,0.5,0,0,3,1.2,0,False,4,1,0,0,Elneny,Elneny,153256.jpg,0,177355,Mohamed,39.0,76,153256,0.2,12.6,100,0,0.0,0,3,0,0,0,-3,105388,2,0.2,42,6.4,16,0,3,2209,1.0,2018-10-31T10:31:13Z,0,0,0,3
False,2.7,29,a,,456.2,100,0,0,0,2770,3,12.3,3,0,3,4.4,0,False,34,1,0,1,Xhaka,Xhaka,84450.jpg,0,314166,Granit,164.0,1882,84450,3.4,493.8,100,5,0.6,0,344,4,0,0,-2,206580,65,3.4,53,111.6,17,0,2,3388,3.0,2018-12-02T17:01:15Z,0,7,2,3
False,3.8,17,d,Foot injury - 25% chance of playing,249.6,0,0,0,0,1640,0,7.6,4,0,3,0.3,0,False,7,1,0,2,Mkhitaryan,Mkhitaryan,57249.jpg,0,1322006,Henrikh,337.0,838,57249,0.0,235.8,25,6,0.0,0,176,0,0,0,-3,796068,51,0.0,67,82.4,18,0,3,33,3.6,2018-12-21T11:31:16Z,0,0,1,3
False,0.4,0,u,Season-long loan to Hoffenheim,0.0,0,0,0,0,72,0,0.0,0,0,3,0.0,0,False,48,1,0,0,Nelson,Nelson,200641.jpg,0,32265,Reiss,0.0,0,200641,0.0,0.0,0,0,0.0,0,0,0,0,0,-1,4122,0,0.0,44,0.0,19,0,1,0,0.0,2018-09-02T07:29:58Z,0,0,0,3
False,0.5,10,a,,38.1,100,0,0,0,1024,1,4.1,1,0,3,3.8,0,False,15,1,0,0,Maitland-Niles,Maitland-Niles,154043.jpg,0,39498,Ainsley,88.0,431,154043,2.8,105.4,100,1,0.6,0,75,0,0,0,-1,30737,18,2.8,44,23.2,20,0,1,1298,2.3,2018-08-12T16:01:12Z,0,0,0,3
False,0.5,3,i,Ankle injury - Unknown return date,56.8,0,0,0,0,177,0,3.0,1,0,4,0.0,0,False,23,1,0,0,Welbeck,Welbeck,50175.jpg,0,48862,Danny,66.0,146,50175,0.0,73.6,0,3,0.0,0,63,0,0,0,-1,28908,19,0.0,64,19.5,21,0,1,39,2.4,2018-11-08T23:01:14Z,0,0,1,3
