FixtureID,Team1,Team2,1 & No,%1 & No,1 & Yes,%1 & Yes,2 & No,%2 & No,2 & Yes,%2 & Yes,N & No,%N & No,N & Yes,%N & Yes
255,Brighton,Everton,4.60,14.72166666666666666666666667,5.00,12.98166666666666666666666667,3.10,25.24166666666666666666666667,3.60,20.76166666666666666666666667,8.50,4.741666666666666666666666667,3.50,21.55166666666666666666666667
261,Manchester United,Bournemouth,2.00,42.90833333333333333333333333,2.15,39.41833333333333333333333333,12.00,1.238333333333333333333333333,9.50,3.438333333333333333333333333,16.30,-0.961666666666666666666666667,4.75,13.95833333333333333333333333
262,Southampton,Manchester City,14.50,-0.068333333333333333333333333,13.00,0.721666666666666666666666667,1.75,50.17166666666666666666666667,2.20,38.48166666666666666666666667,15.50,-0.518333333333333333333333333,5.50,11.21166666666666666666666667
258,Fulham,Huddersfield,2.50,32.96833333333333333333333333,3.95,18.28833333333333333333333333,4.90,13.37833333333333333333333333,7.25,6.758333333333333333333333333,6.25,8.968333333333333333333333333,3.75,19.63833333333333333333333333
263,Tottenham,Wolves,2.05,41.785,2.55,32.225,9.25,3.815,9.25,3.815,11.00,2.095,4.30,16.265
257,Crystal Palace,Chelsea,7.00,7.123333333333333333333333333,7.50,6.163333333333333333333333333,2.25,37.27333333333333333333333333,2.85,27.92333333333333333333333333,9.50,3.363333333333333333333333333,3.95,18.15333333333333333333333333
264,Watford,Newcastle,2.30,36.54666666666666666666666667,3.15,24.81666666666666666666666667,6.50,8.446666666666666666666666667,7.75,5.966666666666666666666666667,8.25,5.186666666666666666666666667,3.85,19.03666666666666666666666667
260,Liverpool,Arsenal,2.15,39.58833333333333333333333333,2.20,38.52833333333333333333333333,11.30,1.928333333333333333333333333,8.25,5.198333333333333333333333333,16.30,-0.791666666666666666666666667,4.45,15.54833333333333333333333333
259,Leicester,Cardiff,1.90,45.57833333333333333333333333,3.00,26.27833333333333333333333333,8.00,5.448333333333333333333333333,10.80,2.208333333333333333333333333,8.25,5.068333333333333333333333333,4.45,15.41833333333333333333333333
256,Burnley,West Ham,5.25,12.18166666666666666666666667,5.50,11.31166666666666666666666667,2.85,28.22166666666666666666666667,3.30,23.43166666666666666666666667,9.25,3.941666666666666666666666667,3.60,20.91166666666666666666666667
