FixtureID,Team1,Team2,1 & No,%1 & No,1 & Yes,%1 & Yes,2 & No,%2 & No,2 & Yes,%2 & Yes,N & No,%N & No,N & Yes,%N & Yes
157025,Arsenal,Burnley,2.20,43.10,2.87,32.49,17.00,3.53,17.00,3.53,15.00,4.31,6.50,13.03
157026,Aston Villa,Bournemouth,4.33,20.81,4.00,22.71,6.00,14.38,5.50,15.89,13.00,5.40,4.33,20.81
157027,Brighton,West Ham,4.00,22.73,4.33,20.83,6.00,14.40,6.00,14.40,11.00,6.82,4.33,20.83
157029,Everton,Watford,3.40,27.02,3.50,26.18,8.00,10.10,7.50,10.94,12.00,5.94,4.50,19.83
157031,Norwich,Newcastle,3.60,25.32,4.33,20.64,6.50,12.93,6.50,12.93,10.00,7.54,4.33,20.64
157033,Southampton,Liverpool,11.00,6.73,9.50,8.17,2.75,34.00,3.00,30.97,15.00,4.31,5.50,15.82
157030,Manchester City,Tottenham,2.40,39.14,2.60,35.94,15.00,4.14,13.00,5.17,19.00,2.74,6.50,12.86
157032,Sheffield Utd,Crystal Palace,4.00,22.35,5.00,17.35,5.00,17.35,6.00,14.02,9.00,8.47,4.33,20.45
157028,Chelsea,Leicester,3.00,30.86,3.50,26.10,8.50,9.29,8.50,9.29,12.00,5.86,4.75,18.58
157034,Wolves,Manchester United,5.00,17.50,6.00,14.17,4.00,22.50,5.00,17.50,9.00,8.61,4.50,19.72
