FixtureID,Team1,Team2,1,%1,N,%N,2,%2
281,Leicester,Southampton,1.85,52.04,3.45,26.98,4.35,20.98
276,Burnley,Fulham,2.40,39.74,3.25,28.85,3.00,31.41
277,Cardiff,Huddersfield,2.20,43.32,3.05,30.65,3.55,26.03
278,Chelsea,Newcastle,1.20,81.38,6.25,14.04,15.30,4.58
280,Everton,Bournemouth,1.70,56.97,4.00,23.15,4.60,19.88
282,Manchester City,Wolves,1.18,82.85,7.00,12.39,15.00,4.77
283,Tottenham,Manchester United,2.05,46.77,3.65,25.39,3.35,27.84
284,West Ham,Arsenal,3.40,27.50,3.80,24.41,2.00,48.09
279,Crystal Palace,Watford,2.20,43.28,3.25,28.59,3.30,28.13
275,Brighton,Liverpool,9.75,7.86,5.00,17.61,1.30,74.53
