FixtureID,Team1,Team2,1,%1,N,%N,2,%2
255,Brighton,Everton,3.40,27.48666666666666666666666667,3.35,27.92666666666666666666666667,2.15,44.58666666666666666666666667
261,Manchester United,Bournemouth,1.32,72.98,5.15,16.64,7.60,10.38
262,Southampton,Manchester City,10.10,7.993333333333333333333333333,5.65,15.79333333333333333333333333,1.28,76.21333333333333333333333333
258,Fulham,Huddersfield,2.00,47.91666666666666666666666667,3.20,29.16666666666666666666666667,4.00,22.91666666666666666666666667
263,Tottenham,Wolves,1.45,66.25,4.20,21.09,6.50,12.66
257,Crystal Palace,Chelsea,5.20,16.93,3.80,24.02,1.63,59.05
264,Watford,Newcastle,1.76,54.95,3.55,26.30,4.85,18.75
260,Liverpool,Arsenal,1.43,68.03333333333333333333333333,4.75,19.15333333333333333333333333,6.80,12.81333333333333333333333333
259,Leicester,Cardiff,1.52,63.91333333333333333333333333,4.05,22.81333333333333333333333333,6.60,13.27333333333333333333333333
256,Burnley,West Ham,3.65,25.10,3.45,26.69,1.98,48.21
