id,web_name,team_code,element_type,status,now_cost,chance_of_playing_next_round,value_season,minutes,bps,ict_index,form,transfers_in_event,transfers_out_event,total_points,ep_next,event_points,goals_scored,assists,threat
22,Lacazette,3,4,a,93,75,11.2,1443,349,148.0,4.6,38952,9107,104,4.2,8,8,8,680.0
23,Aubameyang,3,4,a,113,100,12.0,1820,489,179.7,4.6,62630,75623,136,5.6,2,14,5,854.0
552,Nketiah,3,4,a,50,,0.2,1,3,0.0,0.0,131,140,1,1.0,0,0,0,0.0
43,Wilson,91,4,d,65,75,17.5,1726,367,155.5,3.8,31188,51222,114,2.5,9,10,8,753.0
44,Mousset,91,4,a,49,100,2.9,150,31,11.3,1.0,201,253,14,0.5,1,0,0,57.0
45,King,91,4,d,63,75,12.5,1675,237,125.0,3.0,6029,7063,79,1.9,8,6,2,642.0
62,Murray,36,4,a,63,100,12.2,1432,213,84.1,1.4,4080,7181,77,1.9,1,8,0,443.0
65,Locadia,36,4,a,53,100,7.2,756,114,50.5,4.8,7316,3152,38,5.3,2,2,0,245.0
66,Andone,36,4,a,50,100,5.2,498,57,33.1,1.2,671,1119,26,1.7,1,2,0,236.0
551,Gyokeres,36,4,a,45,,0.0,0,0,0.0,0.0,331,282,0,0.5,0,0,0,0.0
84,Vokes,90,4,a,53,,9.1,907,130,54.3,0.8,605,4155,48,-0.2,0,3,0,292.0
85,Barnes,90,4,a,57,100,10.0,1072,158,85.6,3.4,1318,7404,57,2.4,2,4,2,465.0
87,Wood,90,4,a,62,100,8.1,1329,119,74.4,3.8,425,2014,50,2.8,2,3,0,447.0
495,Vydra,90,4,a,57,100,2.3,262,43,11.8,0.0,29,69,13,-1.0,0,1,0,54.0
110,Reid,97,4,a,52,,9.0,851,143,56.5,1.8,1341,2644,47,0.8,1,2,3,251.0
176,Niasse,97,4,a,50,,1.4,121,6,5.2,0.6,1810,691,7,-0.4,2,0,0,35.0
573,Healey,97,4,a,45,,0.2,17,1,0.2,0.5,699,353,1,-0.5,0,0,0,0.0
133,Giroud,8,4,a,77,100,5.3,626,124,66.3,0.8,322,1118,41,1.3,1,1,4,322.0
134,Morata,8,4,a,84,100,5.5,936,119,86.3,0.6,249,1325,46,1.1,0,5,0,523.0
579,Higuaín,8,4,a,95,,0.0,0,0,0.0,0.0,31135,729,0,3.6,0,0,0,0.0
151,Zaha,31,4,a,67,100,9.6,1797,181,143.3,3.2,19988,8154,64,3.2,5,3,5,660.0
152,Benteke,31,4,a,63,100,1.4,337,7,24.4,0.2,194,186,9,0.2,0,0,0,182.0
444,Wickham,31,4,a,49,100,1.6,60,20,11.8,1.4,1503,411,8,1.4,4,0,1,53.0
505,Ayew,31,4,a,57,,5.8,912,69,54.2,2.2,681,554,33,2.2,1,1,1,299.0
175,Calvert-Lewin,11,4,a,53,100,9.4,780,165,48.7,2.8,5964,9645,50,3.3,1,4,2,237.0
177,Tosun,11,4,a,65,,5.2,654,104,60.1,0.2,239,859,34,0.7,1,2,2,378.0
189,Kamara,54,4,a,45,,6.2,688,82,53.1,1.0,13657,29584,28,0.5,0,3,0,244.0
480,Mitrovic,54,4,a,65,,13.8,2020,274,178.1,3.0,12243,39375,90,2.5,1,8,3,1013.0
513,Vietto,54,4,a,53,,6.5,761,116,60.0,0.8,220,593,35,0.3,0,0,4,215.0
210,Depoitre,38,4,a,51,100,5.9,956,28,49.9,1.0,438,850,30,0.5,0,0,1,356.0
211,Mounie,38,4,a,58,100,7.8,1157,108,93.5,3.4,387,488,45,2.9,1,1,4,567.0
212,Kachunga,38,4,a,48,100,2.5,529,13,19.8,1.4,597,231,12,0.9,2,0,0,81.0
234,Vardy,13,4,a,89,100,9.3,1445,253,114.8,4.2,4244,17053,83,3.2,5,7,3,600.0
235,Okazaki,13,4,a,52,100,3.3,168,40,12.8,0.4,206,595,17,-0.6,0,0,1,69.0
236,Iheanacho,13,4,a,58,,8.3,839,137,50.8,0.4,199,1241,48,-0.6,1,1,5,194.0
257,Firmino,14,4,a,93,100,12.0,1784,455,174.5,7.4,52859,24745,112,8.4,8,9,5,805.0
472,Sturridge,14,4,a,56,,3.9,263,88,31.9,0.4,256,799,22,1.4,0,2,0,148.0
543,Origi,14,4,a,50,100,2.4,72,42,11.7,0.2,190,263,12,1.2,0,1,1,44.0
280,Agüero,43,4,a,113,100,9.2,1351,388,176.3,4.2,29500,35227,104,5.2,5,10,8,940.0
281,Jesus,43,4,a,102,100,5.5,777,191,115.0,2.8,4157,26953,56,3.8,0,5,2,655.0
305,Rashford,1,4,a,77,100,12.4,1346,329,143.7,8.0,168985,6476,94,9.0,8,8,7,636.0
306,Lukaku,1,4,a,107,100,6.8,1254,246,121.4,2.4,638,6810,73,3.4,1,8,1,633.0
