id,web_name,team_code,element_type,status,now_cost,chance_of_playing_next_round,value_season,minutes,bps,ict_index,form,transfers_in_event,transfers_out_event,total_points,ep_next,event_points,clean_sheets,goals_conceded
1,Cech,3,1,a,48,100,5.0,585,130,20.4,0.0,21,105,24,0.0,0,1,9
2,Leno,3,1,a,48,,14.4,2025,393,55.0,4.0,880,950,69,4.0,2,3,30
24,Begovic,91,1,a,43,100,14.2,1980,348,42.2,0.0,339,786,61,0.5,0,5,42
25,Boruc,91,1,a,40,,7.0,630,130,19.9,2.4,7384,517,28,2.9,6,2,12
47,Ryan,36,1,a,44,100,18.2,2160,396,50.2,4.0,1253,595,80,4.0,9,5,36
179,Button,36,1,a,40,100,3.8,360,76,8.9,0.0,114,1657,15,0.0,0,1,5
439,Steele,36,1,a,40,,0.0,0,0,0.0,0.0,14,80,0,0.0,0,0,0
67,Heaton,90,1,a,48,100,7.1,900,179,27.3,2.2,150,541,34,1.2,1,2,12
68,Pope,90,1,a,48,100,0.0,0,0,0.0,0.0,9,17,0,-1.0,0,0,0
485,Lindegaard,90,1,a,43,,0.0,0,0,0.0,0.0,7,10,0,-1.0,0,0,0
490,Hart,90,1,a,42,,16.4,1710,378,60.3,0.0,217,1125,69,-1.0,0,4,41
88,Etheridge,97,1,a,47,,24.7,2610,579,85.4,2.8,944,6130,116,2.3,2,7,57
89,Smithies,97,1,a,43,,0.0,0,0,0.0,0.0,0,12,0,-0.5,0,0,0
537,Brian Murphy,97,1,a,40,,0.0,0,0,0.0,0.0,15,30,0,-0.5,0,0,0
112,Caballero,8,1,a,47,,1.3,90,19,0.4,1.5,178,383,6,2.0,0,1,0
498,Kepa,8,1,a,54,,19.1,2430,515,44.5,2.3,377,1633,103,2.8,3,11,30
135,Hennessey,31,1,a,45,100,14.9,1575,311,35.9,0.6,585,343,67,0.6,3,5,26
137,Guaita,31,1,a,42,100,9.8,944,178,15.0,2.6,568,1716,41,2.6,0,4,9
576,Tupper,31,1,a,40,,0.0,0,0,0.0,0.0,14,8,0,0.0,0,0,0
584,Perri,31,1,a,40,,0.0,0,0,0.0,0.0,13,7,0,0.0,0,0,0
154,Pickford,11,1,a,49,,22.7,2610,514,61.5,3.4,691,1453,111,3.4,7,8,39
155,Stekelenburg,11,1,a,39,100,0.0,0,0,0.0,0.0,1130,272,0,0.0,0,0,0
474,Fabri,54,1,a,43,,1.9,180,47,11.5,0.0,8,26,8,-0.5,0,0,5
509,Rico,54,1,a,44,,11.6,1800,339,52.9,1.8,49,112,51,1.3,2,2,40
190,Hamer,38,1,a,40,100,1.3,282,50,9.7,0.2,63,1003,5,-0.3,0,0,11
191,Lössl,38,1,a,44,100,19.8,2327,461,65.5,2.6,537,303,87,2.1,2,5,40
598,Coleman,38,1,a,40,,0.0,0,0,0.0,0.0,25,10,0,-0.5,0,0,0
213,Schmeichel,13,1,a,50,,17.6,2610,458,53.0,1.4,1104,740,88,1.9,2,7,41
214,Jakupovic,13,1,a,43,,0.0,0,0,0.0,0.0,6,6,0,0.5,0,0,0
457,Ward,13,1,a,43,,0.0,0,0,0.0,0.0,1,7,0,0.5,0,0,0
237,Mignolet,14,1,a,47,100,0.0,0,0,0.0,0.0,10,17,0,1.0,0,0,0
468,Alisson,14,1,a,60,,23.7,2610,609,51.8,6.4,3243,2822,142,7.4,7,17,15
260,Ederson,43,1,a,56,,22.1,2610,526,47.1,5.4,8321,1179,124,6.4,6,14,20
529,Muric,43,1,a,45,,0.0,0,0,0.0,0.0,11,9,0,1.0,0,0,0
282,De Gea,1,1,a,57,,18.1,2610,520,67.5,5.2,1003,4983,103,5.2,1,7,38
283,Romero,1,1,a,49,100,0.0,0,0,0.0,0.0,10,20,0,0.0,0,0,0
520,Grant,1,1,a,49,,0.0,0,0,0.0,0.0,1,7,0,0.0,0,0,0
308,Darlow,4,1,a,44,100,0.0,0,0,0.0,0.0,7,6,0,0.0,0,0,0
309,Dubravka,4,1,a,50,100,21.0,2610,516,65.4,3.6,508,568,105,3.6,0,9,36
553,Woodman,4,1,a,40,,0.0,0,0,0.0,0.0,9,26,0,0.0,0,0,0
328,McCarthy,20,1,a,44,100,16.6,2250,414,58.6,1.0,41,1230,73,-0.5,0,4,44
329,Forster,20,1,a,42,,0.0,0,0,0.0,0.0,20,45,0,-1.5,0,0,0
452,Gunn,20,1,a,43,,6.5,360,101,13.8,3.4,595,59,28,1.9,8,2,5
351,Lloris,6,1,a,55,100,20.9,2250,536,66.2,6.0,2019,941,115,7.5,10,9,25
352,Vorm,6,1,a,47,100,1.1,180,36,6.6,0.0,8,12,5,1.5,0,0,4
536,Gazzaniga,6,1,a,45,,2.2,180,48,5.5,0.0,2,9,10,1.5,0,1,1
538,Whiteman,6,1,a,40,,0.0,0,0,0.0,0.0,24,19,0,1.5,0,0,0
373,Gomes,57,1,a,43,,0.0,0,0,0.0,0.0,4,17,0,-1.0,0,0,0
374,Dahlberg,57,1,a,43,,0.0,0,0,0.0,0.0,5,1,0,-1.0,0,0,0
445,Foster,57,1,a,46,,23.5,2610,550,76.3,4.8,1362,2303,108,3.8,2,7,41
399,Adrián,21,1,a,43,,0.0,0,0,0.0,0.0,14,19,0,0.5,0,0,0
400,Fabianski,21,1,a,47,100,24.0,2610,566,85.7,3.6,8656,1203,113,4.1,6,5,41
421,Ruddy,39,1,a,42,,1.7,90,25,2.7,1.4,157,76,7,0.9,7,1,0
422,Norris,39,1,a,39,,0.0,0,0,0.0,0.0,955,245,0,-0.5,0,0,0
454,Patrício,39,1,a,45,,20.2,2520,457,56.2,1.8,726,5376,91,1.3,0,6,35
