id,web_name,team_code,element_type,status,now_cost,chance_of_playing_next_round,value_season,minutes,bps,ict_index,form,transfers_in_event,transfers_out_event,total_points,ep_next,event_points,goals_scored,assists,clean_sheets,goals_conceded,threat
13,Özil,3,3,a,80,100,7.0,1050,224,78.8,0.8,27,27,56,1.8,0,3,2,3,14,137.0
14,Ramsey,3,3,a,72,100,8.5,894,203,96.4,1.3,22,19,61,2.3,0,2,6,4,13,364.0
15,Iwobi,3,3,a,54,100,10.6,1170,231,89.6,1.0,36,66,57,2.0,0,2,5,0,22,335.0
16,Elneny,3,3,a,42,100,0.7,121,12,9.9,0.5,29,28,3,1.5,0,0,0,0,0,47.0
17,Xhaka,3,3,a,53,100,12.3,1882,344,111.6,1.0,32,55,65,2.0,0,3,2,4,29,164.0
18,Mkhitaryan,3,3,d,67,75,7.6,838,176,82.4,0.0,2,22,51,0.8,0,4,1,0,17,337.0
20,Maitland-Niles,3,3,d,44,75,4.1,431,75,23.2,0.8,3,37,18,1.4,0,1,0,0,10,88.0
450,Torreira,3,3,a,49,100,13.3,1699,336,74.5,1.5,77,159,65,2.5,0,2,3,4,25,147.0
451,Guendouzi,3,3,a,44,100,7.0,1373,222,55.1,1.5,50,50,31,2.5,0,0,0,2,20,99.0
563,Saka,3,3,a,45,,0.2,7,3,0.0,0.0,0,1,1,1.0,0,0,0,0,0,0.0
566,Willock,3,3,a,45,,0.0,0,0,0.0,0.0,1,1,0,1.0,0,0,0,0,0,0.0
586,Suárez,3,3,a,65,,0.0,0,0,0.0,0.0,301,3,0,3.3,0,0,0,0,0,0.0
35,Surman,91,3,a,46,,5.4,988,134,23.3,0.5,1,0,25,-0.5,0,0,0,3,26,24.0
36,Stanislas,91,3,a,60,100,7.5,896,165,71.8,2.3,8,4,45,1.3,0,1,3,2,21,305.0
37,Gosling,91,3,a,47,100,6.0,1016,119,40.0,2.0,7,0,28,1.0,0,0,1,3,15,134.0
38,Ibe,91,3,a,50,,3.2,332,50,20.8,1.3,6,2,16,0.3,0,0,1,0,11,54.0
40,Fraser,91,3,a,61,100,19.2,1939,483,183.1,2.0,435,472,117,1.0,0,5,9,6,37,403.0
494,Lerma,91,3,d,45,75,9.1,1559,221,60.5,1.3,1,12,41,0.2,0,1,1,6,30,152.0
55,Knockaert,36,3,a,52,,9.4,1157,183,80.7,0.8,4,9,49,1.3,0,1,4,2,23,246.0
56,Stephens,36,3,a,44,100,8.2,1414,203,38.2,1.3,6,24,36,1.8,0,1,0,3,26,38.0
57,Kayal,36,3,a,44,,6.1,707,114,29.1,0.5,1,8,27,1.0,0,1,1,3,11,49.0
58,March,36,3,a,49,,14.9,1851,272,113.4,1.3,66,42,73,1.8,0,1,5,4,33,232.0
59,Groß,36,3,a,67,100,7.3,1156,204,86.7,4.3,29,12,49,4.8,0,2,2,1,19,172.0
60,Pröpper,36,3,a,48,100,9.2,1772,237,46.6,2.3,5,1,44,2.8,0,0,1,2,31,56.0
466,Bissouma,36,3,a,46,100,4.6,861,74,32.8,0.0,0,1,21,0.5,0,0,0,0,15,111.0
476,Jahanbakhsh,36,3,a,67,100,2.2,437,31,17.5,0.0,2,0,15,0.5,0,0,0,3,4,73.0
572,Sanders,36,3,a,45,,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0,0.0
76,Gudmundsson,90,3,a,55,100,12.0,1358,238,95.1,0.3,4,13,66,-0.2,0,2,5,5,30,267.0
78,Hendrick,90,3,a,52,,8.7,1102,157,43.2,4.0,6,8,45,3.5,0,1,2,2,29,189.0
79,Brady,90,3,d,54,75,2.2,534,50,28.6,0.0,0,0,12,-0.4,0,0,1,1,12,74.0
80,Westwood,90,3,a,45,100,14.2,1651,312,88.2,2.5,163,45,64,2.0,0,0,6,5,34,122.0
82,Cork,90,3,a,46,100,12.6,2052,295,67.6,2.3,19,7,58,1.8,0,1,2,6,40,152.0
534,McNeil,90,3,a,44,,5.2,515,99,48.0,2.0,17,6,23,1.5,0,1,1,3,6,167.0
583,Benson,90,3,a,45,,0.0,0,0,0.0,0.0,1,0,0,-0.5,0,0,0,0,0,0.0
98,Ralls,97,3,a,46,100,6.1,1328,152,62.9,1.0,1,0,28,1.0,0,0,0,3,29,143.0
99,Hoilett,97,3,a,50,100,9.8,1388,125,58.9,1.0,3,1,49,1.0,0,2,1,4,32,272.0
100,Mendez-Laing,97,3,a,48,25,4.6,411,83,32.1,3.0,5,1,22,0.8,0,1,0,2,6,126.0
101,Paterson,97,3,a,50,100,13.6,1665,192,97.0,1.5,17,25,68,1.5,0,4,1,4,34,480.0
102,Gunnarsson,97,3,a,44,100,8.6,1208,163,42.9,1.3,15,15,38,1.3,0,1,0,3,23,114.0
104,Damour,97,3,a,43,,0.5,21,6,0.9,0.0,5,0,2,0.0,0,0,0,0,2,8.0
105,Ward,97,3,a,43,100,4.2,322,56,17.8,0.3,1,1,18,0.3,0,1,0,0,10,63.0
106,Murphy,97,3,d,48,75,10.6,1161,114,71.9,0.3,0,23,51,0.2,0,3,0,4,22,411.0
504,Camarasa,97,3,d,46,75,15.0,1882,268,116.9,1.0,29,153,69,0.8,0,3,2,6,42,233.0
535,Harris,97,3,a,45,100,5.1,355,77,26.0,0.3,0,0,23,0.3,0,1,1,1,6,87.0
122,Hazard,8,3,a,109,100,13.6,1849,523,270.3,2.3,137,1746,148,1.8,0,10,10,8,20,961.0
124,Willian,8,3,a,72,100,11.1,1526,354,180.6,2.8,93,90,80,2.3,0,3,4,9,20,572.0
125,Pedro,8,3,a,63,100,13.3,1156,309,120.2,3.3,77,120,84,2.8,0,7,1,4,10,525.0
126,Kanté,8,3,a,50,,15.8,2146,379,122.1,1.5,234,360,79,1.0,0,3,2,10,23,267.0
127,Barkley,8,3,a,51,100,11.4,749,196,68.7,0.3,5,33,58,-0.2,0,3,3,5,6,273.0
128,Drinkwater,8,3,a,46,100,0.0,0,0,0.0,0.0,0,1,0,-0.5,0,0,0,0,0,0.0
130,Ampadu,8,3,a,44,100,0.0,0,0,0.0,0.0,1,1,0,-0.5,0,0,0,0,0,0.0
131,Hudson-Odoi,8,3,a,42,100,0.7,61,12,0.9,0.5,69,44,3,0.0,0,0,0,0,1,2.0
132,Loftus-Cheek,8,3,a,52,100,6.0,340,108,35.8,0.3,1,4,31,-0.2,0,3,0,1,3,121.0
459,Jorginho,8,3,a,47,,12.3,2003,355,87.4,1.3,33,108,58,0.8,0,1,0,10,21,64.0
499,Kovacic,8,3,a,57,100,8.6,1192,241,83.6,1.5,4,17,49,1.0,0,0,2,7,14,254.0
147,McArthur,31,3,a,48,,15.2,1975,296,98.6,1.5,74,74,73,1.0,0,2,2,8,31,274.0
148,Sako,31,3,a,49,0,0.0,0,0,0.0,0.0,2,1,0,0.0,0,0,0,0,0,0.0
149,Townsend,31,3,a,58,,15.3,2120,343,151.2,3.5,310,80,89,3.0,0,4,3,8,31,381.0
150,Milivojevic,31,3,a,61,,15.1,2160,420,140.2,1.8,97,138,92,1.3,0,6,1,8,33,329.0
486,Meyer,31,3,a,56,100,7.9,954,159,71.2,1.5,2,5,44,1.0,0,1,3,4,16,338.0
164,Walcott,11,3,a,60,100,12.3,1597,208,102.3,0.4,24,54,74,0.4,0,3,3,5,27,455.0
166,McCarthy,11,3,a,44,100,0.0,0,0,0.0,0.0,1,0,0,0.0,0,0,0,0,0,0.0
167,Schneiderlin,11,3,a,42,100,2.6,285,67,13.8,0.0,39,51,11,0.0,0,0,1,0,7,10.0
168,Gueye,11,3,d,48,75,8.1,1692,261,55.0,0.8,2,4,39,0.6,0,0,0,5,22,49.0
169,Davies,11,3,a,51,,3.5,695,99,21.2,0.6,1,2,18,0.6,0,0,0,2,13,45.0
170,Lookman,11,3,a,51,100,4.5,488,91,38.7,1.6,5,10,23,1.6,0,0,2,1,5,124.0
172,Sigurdsson,11,3,a,74,100,15.4,1978,417,197.7,3.0,229,382,114,3.0,0,9,3,7,29,658.0
393,Richarlison,11,3,a,68,100,16.0,1797,263,149.3,2.4,504,563,109,2.4,0,10,2,6,28,828.0
507,Bernard,11,3,a,59,100,8.6,1166,184,74.6,1.2,0,9,51,1.2,0,0,4,6,13,126.0
508,André Gomes,11,3,a,54,100,6.1,1295,161,37.1,1.0,11,8,33,1.0,0,0,1,5,18,123.0
182,Cairney,54,3,a,46,100,7.8,1162,208,56.4,1.0,6,4,36,0.0,0,0,1,3,26,79.0
183,McDonald,54,3,a,43,100,2.6,622,81,15.0,0.0,0,3,11,-1.0,0,0,0,0,21,15.0
184,Sessegnon,54,3,a,60,100,10.7,1451,209,95.8,0.8,4,35,64,-0.2,0,2,5,0,44,282.0
186,Ayité,54,3,a,43,100,1.6,161,16,2.6,0.0,1,0,7,-1.0,0,0,0,0,4,9.0
187,Kebano,54,3,a,43,100,0.9,58,14,2.0,0.5,1,0,4,-0.5,0,0,0,0,2,4.0
456,Seri,54,3,a,50,,11.8,1824,351,119.8,1.8,6,20,59,0.8,0,1,3,2,43,114.0
478,Schürrle,54,3,a,56,100,12.9,1557,250,107.5,3.0,48,73,72,2.0,0,6,0,2,41,439.0
521,Cissé,54,3,a,43,,0.9,86,16,1.4,0.3,1,2,4,-0.7,0,0,0,0,4,0.0
575,Babel,54,3,a,55,,1.5,144,31,16.8,2.7,81,17,8,1.7,0,0,2,0,3,56.0
594,Markovic,54,3,a,50,,0.0,0,0,0.0,0.0,19,1,0,0.7,0,0,0,0,0,0.0
146,Puncheon,38,3,a,42,,2.6,281,36,10.4,1.5,75,40,11,0.5,0,0,0,1,4,23.0
199,Mooy,38,3,a,50,100,9.0,1357,246,100.4,0.3,0,5,45,-0.7,0,2,0,3,20,231.0
201,Hogg,38,3,a,44,100,8.4,1489,232,46.1,1.3,1,7,37,0.3,0,0,1,4,23,24.0
202,Billing,38,3,d,45,75,12.2,1840,281,105.5,0.8,0,58,55,-0.1,0,2,0,4,35,299.0
206,Pritchard,38,3,a,48,,9.2,1422,143,88.8,1.0,1,2,44,0.0,0,1,0,5,26,408.0
208,Bacuna,38,3,a,42,100,2.1,358,47,17.7,0.8,21,6,9,-0.2,0,0,0,0,9,11.0
471,Diakhaby,38,3,a,45,100,2.7,374,33,10.8,0.8,1,0,12,-0.2,0,0,0,1,10,32.0
514,Mbenza,38,3,a,59,100,3.9,560,79,25.9,0.8,0,0,23,-0.2,0,0,1,0,12,134.0
224,Albrighton,13,3,a,51,100,10.2,1300,237,84.8,1.0,6,4,52,0.0,0,2,2,3,15,197.0
225,Gray,13,3,a,54,100,10.6,1271,163,80.9,2.5,23,10,57,1.5,0,3,1,5,17,384.0
227,Ndidi,13,3,a,49,100,12.9,2128,340,95.0,2.8,15,14,63,1.8,0,2,0,7,29,273.0
229,James,13,3,a,44,100,0.0,0,0,0.0,0.0,2,0,0,-1.0,0,0,0,0,0,0.0
230,Choudhury,13,3,a,43,,2.6,332,41,14.0,0.8,3,4,11,-0.2,0,0,0,2,3,41.0
233,Maddison,13,3,a,66,100,12.6,1655,374,169.4,1.8,66,86,83,0.8,0,5,4,5,26,414.0
492,Ghezzal,13,3,a,50,100,4.6,570,80,56.1,0.3,0,1,23,-0.7,0,1,0,1,10,197.0
527,Mendy,13,3,a,45,,10.9,1903,255,32.7,1.0,24,16,49,0.0,0,0,1,7,27,22.0
